"Periodo","Exportaciones","Importaciones"
"1993/01","3491025.00000","4615875.00000"
"1993/02","3824112.00000","5052105.00000"
"1993/03","4454157.00000","5716663.00000"
"1993/04","4131085.00000","5189932.00000"
"1993/05","4125457.00000","5200380.00000"
"1993/06","4789999.00000","5929171.00000"
"1993/07","4151908.00000","5537398.00000"
"1993/08","4219402.00000","5286125.00000"
"1993/09","4446892.00000","5502726.00000"
"1993/10","4923708.00000","5705325.00000"
"1993/11","4649174.00000","5732150.00000"
"1993/12","4679050.00000","5898692.00000"
"1994/01","4089070.00000","5552008.00000"
"1994/02","4531315.00000","6035607.00000"
"1994/03","5155533.00000","6485486.00000"
"1994/04","4655097.00000","6074339.00000"
"1994/05","5096665.00000","6607078.00000"
"1994/06","5315984.00000","6936622.00000"
"1994/07","4757600.00000","6302575.00000"
"1994/08","5271435.00000","6988692.00000"
"1994/09","5035115.00000","6567235.00000"
"1994/10","5555650.00000","7190078.00000"
"1994/11","6108348.00000","7607415.00000"
"1994/12","5310387.00000","6998766.00000"
"1995/01","5932391.00000","6240110.00000"
"1995/02","6066195.00000","5595888.00000"
"1995/03","6788153.00000","6353999.00000"
"1995/04","5864530.00000","4968974.00000"
"1995/05","7027839.00000","6036843.00000"
"1995/06","6739092.00000","6026798.00000"
"1995/07","6048581.00000","5388871.00000"
"1995/08","7099164.00000","6407248.00000"
"1995/09","6939424.00000","6076490.00000"
"1995/10","7346393.00000","6628123.00000"
"1995/11","6909189.00000","6438240.00000"
"1995/12","6780603.00000","6291483.00000"
"1996/01","7142790.00000","6475299.00000"
"1996/02","7112474.00000","6622052.00000"
"1996/03","7615113.00000","6838704.00000"
"1996/04","7915540.00000","7077139.00000"
"1996/05","8075420.00000","7482769.00000"
"1996/06","7615922.00000","6849638.00000"
"1996/07","8003292.00000","7617602.00000"
"1996/08","7857667.00000","7526405.00000"
"1996/09","8386121.00000","7691149.00000"
"1996/10","9299120.00000","9031280.00000"
"1996/11","8467329.00000","8258266.00000"
"1996/12","8508952.00000","7998463.00000"
"1997/01","8181992.00000","7664836.00000"
"1997/02","8068267.00000","7685721.00000"
"1997/03","8848132.00000","8178496.00000"
"1997/04","9220360.00000","9096105.00000"
"1997/05","8835675.00000","8591105.00000"
"1997/06","9384390.00000","9112501.00000"
"1997/07","9361095.00000","9422517.00000"
"1997/08","8950302.00000","9074434.00000"
"1997/09","9864982.00000","9988202.00000"
"1997/10","10289043.00000","10447603.00000"
"1997/11","9559202.00000","9945341.00000"
"1997/12","9868058.00000","10601339.00000"
"1998/01","8547674.00000","9217785.00000"
"1998/02","8908950.00000","9495419.00000"
"1998/03","10649545.00000","11160956.00000"
"1998/04","9792844.00000","10049725.00000"
"1998/05","9772383.00000","10089792.00000"
"1998/06","10306289.00000","10883181.00000"
"1998/07","9126235.00000","10049144.00000"
"1998/08","9236794.00000","10042111.00000"
"1998/09","10223556.00000","10934092.00000"
"1998/10","10338716.00000","11100205.00000"
"1998/11","10266337.00000","11170542.00000"
"1998/12","10369971.00000","11180106.00000"
"1999/01","8663443.00000","9211313.00000"
"1999/02","9613236.00000","9936389.00000"
"1999/03","11663694.00000","11999227.00000"
"1999/04","10533432.00000","10946210.00000"
"1999/05","11068961.00000","11320320.00000"
"1999/06","12038721.00000","12351138.00000"
"1999/07","11050320.00000","11280920.00000"
"1999/08","12285014.00000","12718154.00000"
"1999/09","11957664.00000","12255905.00000"
"1999/10","12329161.00000","12926013.00000"
"1999/11","12994306.00000","13849593.00000"
"1999/12","12163864.00000","13179582.00000"
